2026-04-23 01:20:40 | DEBUG    | bot.client | Order response: {'orderId': 13062647316, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'MOtzRoz2omC4bpOw7GVFp7', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776887439844}
2026-04-23 01:24:23 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.019 price=MARKET stop=N/A
2026-04-23 01:24:23 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.019', 'timestamp': 1776887663634, 'recvWindow': 10000}
2026-04-23 01:24:24 | ERROR    | bot.client | Binance API error -1022: Signature for this request is not valid.
2026-04-23 01:26:46 | INFO     | cli | Bot started | symbol=BTCUSDT side=BUY type=MARKET qty=1.19 price=None stop=None
2026-04-23 01:26:46 | DEBUG    | bot.client | GET https://demo-fapi.binance.com/fapi/v1/ping params={}
2026-04-23 01:26:46 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=1.19 price=MARKET stop=N/A
2026-04-23 01:26:46 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '1.19', 'timestamp': 1776887806745, 'recvWindow': 10000}
2026-04-23 01:26:46 | DEBUG    | bot.client | Order response: {'orderId': 13062662683, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'XxwtgQ9Lwd0kgSHPitnEse', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '1.1900', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776887806667}
2026-04-23 01:26:46 | INFO     | bot.orders | Order SUCCESS | orderId=13062662683 status=NEW executedQty=0.0000
2026-04-23 01:27:39 | INFO     | cli | Bot started | symbol=BTCUSDT side=BUY type=MARKET qty=0.019 price=None stop=None
2026-04-23 01:27:39 | DEBUG    | bot.client | GET https://demo-fapi.binance.com/fapi/v1/ping params={}
2026-04-23 01:27:40 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.019 price=MARKET stop=N/A
2026-04-23 01:27:40 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.019', 'timestamp': 1776887860292, 'recvWindow': 10000}
2026-04-23 01:27:40 | DEBUG    | bot.client | Order response: {'orderId': 13062664942, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'defB4aUhH78q4CYzST53dz', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0190', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776887860217}
2026-04-23 01:27:40 | INFO     | bot.orders | Order SUCCESS | orderId=13062664942 status=NEW executedQty=0.0000
2026-04-23 01:31:33 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.123 price=MARKET stop=N/A
2026-04-23 01:31:33 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.123', 'timestamp': 1776888093979, 'recvWindow': 10000}
2026-04-23 01:31:34 | ERROR    | bot.client | Binance API error -1022: Signature for this request is not valid.
2026-04-23 01:32:15 | INFO     | cli | Bot started | symbol=BTCUSDT side=BUY type=MARKET qty=0.123 price=None stop=None
2026-04-23 01:32:15 | DEBUG    | bot.client | GET https://demo-fapi.binance.com/fapi/v1/ping params={}
2026-04-23 01:32:16 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.123 price=MARKET stop=N/A
2026-04-23 01:32:16 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.123', 'timestamp': 1776888136291, 'recvWindow': 10000}
2026-04-23 01:32:16 | ERROR    | bot.client | Binance API error -2019: Margin is insufficient.
